Hours,Shape
20,cylinder
21,circle
20,light
19,sphere
23,disk
20,disk
21,disk
13,circle
19,fireball
16,disk
19,unknown
21,oval
19,circle
22,disk
19,disk
19,other
23,light
17,light
20,oval
12,other
22,light
02,rectangle
00,chevron
22,oval
22,unknown
19,sphere
22,unknown
23,light
05,circle
12,other
22,formation
18,triangle
21,unknown
22,light
22,unknown
00,disk
21,triangle
21,triangle
22,unknown
22,triangle
17,formation
18,unknown
20,cigar
22,unknown
22,light
23,other
18,rectangle
22,light
23,sphere
03,triangle
22,light
22,cylinder
16,delta
17,sphere
20,triangle
21,other
02,changing
03,fireball
13,cylinder
17,cigar
17,circle
20,triangle
20,light
22,egg
23,fireball
00,changing
04,unknown
06,other
11,fireball
12,sphere
20,circle
21,light
21,sphere
22,chevron
23,oval
03,oval
06,other
07,cylinder
20,light
21,light
21,unknown
22,diamond
03,triangle
20,other
20,circle
21,rectangle
21,changing
22,triangle
23,triangle
00,flash
02,unknown
06,sphere
19,unknown
20,other
21,circle
12,oval
18,sphere
19,other
20,light
20,oval
21,formation
22,light
23,sphere
02,triangle
03,changing
04,sphere
08,oval
09,unknown
14,circle
15,unknown
15,sphere
19,circle
21,flash
21,light
22,light
23,sphere
07,other
09,other
09,oval
14,egg
20,triangle
21,unknown
21,other
22,light
23,light
23,disk
01,diamond
05,triangle
12,unknown
16,light
16,triangle
20,other
22,light
22,disk
23,unknown
01,light
01,changing
04,changing
04,sphere
06,oval
13,triangle
18,circle
19,flash
20,sphere
20,unknown
20,unknown
21,oval
21,formation
22,light
22,circle
22,unknown
22,other
23,triangle
02,other
02,light
02,circle
04,disk
04,formation
06,oval
10,triangle
18,triangle
19,light
20,formation
20,oval
20,light
20,light
21,oval
22,disk
22,circle
23,sphere
12,egg
12,unknown
16,unknown
19,unknown
20,light
20,light
21,disk
23,changing
23,light
01,light
02,circle
03,circle
08,formation
12,light
13,light
16,cigar
17,light
18,triangle
20,oval
20,fireball
20,cylinder
21,other
21,disk
21,circle
22,egg
